Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[InitialTimePoint]	Characteristics[genotype]	Characteristics[sex]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism]	Factor Value[immunoprecipitate]
CRI7	ERS517757	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-10#11	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3431	sequencing assay	ERX530932	do3431_input_liver_unk_hg19Homo_sapiensCRI7_CRI01.fq.gz	do3431_input_liver_unk_hg19Homo_sapiensCRI7_CRI01.fq.gz	ERR572249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572249/ERR572249.fastq.gz	P-MTAB-39594	  	  	  	Homo sapiens	input
CRI8	ERS517780	organism part	Addenbrookes hospital	Homo sapiens	fresh specimen	  	wild type	non-identifiable human individual	CRI8	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL3-10#12	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	CRUK-CI	do3432	sequencing assay	ERX531010	do3432_input_liver_unk_hg19Homo_sapiensCRI8_CRI01.fq.gz	do3432_input_liver_unk_hg19Homo_sapiensCRI8_CRI01.fq.gz	ERR572195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572195/ERR572195.fastq.gz	P-MTAB-39594	  	  	  	Homo sapiens	input
Diesel	ERS517756	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Diesel	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#1	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2043	sequencing assay	ERX531030	do2043_H3K4me3_liver_millipore_05-1339_rheMac2Macaca_mulattaDiesel_SAN01.fq.gz	do2043_H3K4me3_liver_millipore_05-1339_rheMac2Macaca_mulattaDiesel_SAN01.fq.gz	ERR572234	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572234/ERR572234.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K4me3
Blues	ERS517750	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Blues	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#3	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2045	sequencing assay	ERX530964	do2045_H3K4me3_liver_millipore_05-1339_rheMac2Macaca_mulattaBlues_SAN01.fq.gz	do2045_H3K4me3_liver_millipore_05-1339_rheMac2Macaca_mulattaBlues_SAN01.fq.gz	ERR572245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572245/ERR572245.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K4me3
Steed	ERS517761	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Steed	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#64	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3145	sequencing assay	ERX530928	do3145_H3K4me3_liver_05-1339_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	do3145_H3K4me3_liver_05-1339_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	ERR572239	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572239/ERR572239.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K4me3
Lachs	ERS517737	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	female	Lachs	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#65	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3146	sequencing assay	ERX530899	do3146_H3K4me3_liver_05-1339_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	do3146_H3K4me3_liver_05-1339_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	ERR572255	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572255/ERR572255.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K4me3
Diesel	ERS517756	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Diesel	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#44	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2690	sequencing assay	ERX531001	do2690_H3K27Ac_liver_ab4729_rheMac2macaqueDiesel_merged.fq.gz	do2690_H3K27Ac_liver_ab4729_rheMac2macaqueDiesel_merged.fq.gz	ERR572211	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572211/ERR572211.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K27Ac
Blues	ERS517750	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Blues	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#45	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2691	sequencing assay	ERX530913	do2691_H3K27Ac_liver_ab4729_rheMac2macaqueBlues_merged.fq.gz	do2691_H3K27Ac_liver_ab4729_rheMac2macaqueBlues_merged.fq.gz	ERR572150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572150/ERR572150.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K27Ac
Steed	ERS517761	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Steed	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#50	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3132	sequencing assay	ERX531008	do3132_H3K27Ac_liver_ab4729_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	do3132_H3K27Ac_liver_ab4729_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	ERR572290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572290/ERR572290.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K27Ac
Lachs	ERS517737	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	female	Lachs	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#51	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3133	sequencing assay	ERX531065	do3133_H3K27Ac_liver_ab4729_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	do3133_H3K27Ac_liver_ab4729_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	ERR572155	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572155/ERR572155.fastq.gz	P-MTAB-39594	P-MTAB-39595	rheMac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Macaca mulatta	H3K27Ac
Diesel	ERS517756	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Diesel	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#93	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2135	sequencing assay	ERX530920	do2135_input_liver_unk_rheMac2Macaca_mulattaDiesel_SAN01.fq.gz	do2135_input_liver_unk_rheMac2Macaca_mulattaDiesel_SAN01.fq.gz	ERR572142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572142/ERR572142.fastq.gz	P-MTAB-39594	  	  	  	Macaca mulatta	input
Blues	ERS517750	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Blues	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#95	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2137	sequencing assay	ERX530989	do2137_input_liver_unk_rheMac2Macaca_mulattaBlues_SAN01.fq.gz	do2137_input_liver_unk_rheMac2Macaca_mulattaBlues_SAN01.fq.gz	ERR572246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572246/ERR572246.fastq.gz	P-MTAB-39594	  	  	  	Macaca mulatta	input
Steed	ERS517761	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	male	Steed	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#68W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3153	sequencing assay	ERX530972	do3153_input_liver_unk_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	do3153_input_liver_unk_rheMac2Macaca_mulattaSteed_SAN01.fq.gz	ERR572273	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572273/ERR572273.fastq.gz	P-MTAB-39594	  	  	  	Macaca mulatta	input
Lachs	ERS517737	organism part	Medical Research Council	Macaca mulatta	fresh specimen	  	wild type	female	Lachs	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#67W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3152	sequencing assay	ERX530956	do3152_input_liver_unk_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	do3152_input_liver_unk_rheMac2Macaca_mulattaLachs_SAN01.fq.gz	ERR572242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572242/ERR572242.fastq.gz	P-MTAB-39594	  	  	  	Macaca mulatta	input
Vervet1	ERS517743	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet1	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#4	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2046	sequencing assay	ERX530976	do2046_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus2053.0_SAN01.fq.gz	do2046_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus2053.0_SAN01.fq.gz	ERR572265	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572265/ERR572265.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K4me3
Vervet2	ERS517766	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet2	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#5	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2047	sequencing assay	ERX530935	do2047_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus2079.0_SAN01.fq.gz	do2047_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus2079.0_SAN01.fq.gz	ERR572230	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572230/ERR572230.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K4me3
Vervet3	ERS517784	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#6	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2048	sequencing assay	ERX531022	do2048_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus3104.0_SAN01.fq.gz	do2048_H3K4me3_liver_millipore_05-1339_rheMac2Chlorocebus_aethips_sabaeus3104.0_SAN01.fq.gz	ERR572183	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572183/ERR572183.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K4me3
Vervet1	ERS517743	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet1	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-179#1	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3140	sequencing assay	ERX530906	do3140_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet1_SAN01.fq.gz	do3140_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet1_SAN01.fq.gz	ERR572221	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572221/ERR572221.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K27Ac
Vervet2	ERS517766	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet2	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-179#2	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3141	sequencing assay	ERX531050	do3141_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet2_SAN01.fq.gz	do3141_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet2_SAN01.fq.gz	ERR572188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572188/ERR572188.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K27Ac
Vervet3	ERS517784	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-179#3	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3142	sequencing assay	ERX530981	do3142_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet3_SAN01.fq.gz	do3142_H3K27Ac_liver_ab4729_rheMac2Chlorocebus_aethiops_sabaeusVervet3_SAN01.fq.gz	ERR572220	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572220/ERR572220.fastq.gz	P-MTAB-39594	P-MTAB-39595	Vervet-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Chlorocebus aethiops sabaeus	H3K27Ac
